SMILES,Tg,Tm
*C*,-54.0,131.0
*CC(*)C,-3.0,164.0
*CC(*)CC,-24.1,115.5
*CC(*)CCC,-37.0,80.0
*CC(*)C(C)C,60.0,306.0
*CC(*)CCCC,-50.0,30.0
*CC(*)CC(C)C,35.2,232.0
*CC(*)CCCCC,-45.5,19.0
*CC(*)CCCCCCC,-47.0,20.5
*CC(*)CCCCCCCC,-35.0,34.0
*CC(*)(C)C,-72.0,5.0
*CCC(*)(C)C,-12.0,68.0
*CCCCCCCC(*)C,-58.0,-5.0
*CC(*)C1CCCC1,75.0,292.0
*CC(*)CC1CCCC1,60.0,217.5
*CC(*)C1CCCCC1,119.7,350.0
*CC(*)CC1CCCCC1,75.0,230.0
*CC(*)Cc1ccccc1,70.0,235.0
*CC(*)CCc1ccccc1,10.0,159.0
*CC(*)CCCCCC,-54.0,20.0
*CC(*)CCCCCCCCCC,-6.0,45.0
*CC(*)CCCCCCCCCCCC,10.0,55.0
*CC(*)CCCCCCCCCCCCCCCC,55.0,68.0
*CC(*)CC(C)(C)C,190.0,335.0
*CC(*)CCC1CCCCC1,40.0,154.0
*/C=C/CCC*,-105.0,-41.0
*/C=C/CC*,-91.0,33.0
*CCC(C)C(*)C,-26.0,135.0
*CC(*)CCCCCCCCCCCCCC,-24.0,65.0
*/C=C/CCCCCC*,-78.0,38.0
*CC(*)C1CCCC(C)C1,141.0,355.0
*CC(*)C1CCC(C)CC1,132.0,250.0
*/C=C/C1CCC(*)C1,31.0,202.0
*/C=C/CCCCCCCCCC*,-53.0,73.0
*CC1(*)CCCCC1,100.0,210.0
*CC/C=C(/*)C(C)(C)C,20.0,106.0
*CC(*)c1ccccc1,99.9,255.0
*CC(*)c1ccccc1C,131.0,360.0
*CC(*)c1ccccc1F,160.5,270.0
*CC(*)c1cccc(C)c1,75.0,215.0
*CC(*)c1cccc(Cl)c1,90.0,158.0
*CC(*)c1cccc(F)c1,86.0,262.5
*CC(*)c1ccc(C)cc1,103.0,205.0
*CC(*)c1ccc(C(C)(C)C)cc1,138.0,137.1
*CC(*)c1ccc(Cl)cc1,124.0,232.0
*CC(*)c1ccc(F)cc1,95.0,265.0
*CC(*)c1ccc(S(=O)(=O)OCCC)cc1,217.0,349.0
*CC(*)c1ccc([Si](C)(C)C)cc1,136.0,284.0
*CC(*)c1ccc(C)cc1C,112.0,310.0
*CC(*)c1cc(C)ccc1C,143.0,330.0
*CC(*)c1cc(C)cc(C)c1,112.0,290.0
*CC(*)c1ccc(C)c(C)c1,111.0,240.0
*CC(*)(C)c1ccc(C(C)C)cc1,140.0,203.0
*CC(*)c1cccc2ccccc12,160.0,360.0
*CC(*)(C)c1ccc(C)cc1,176.0,227.0
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,95.0,178.0
*CC(*)c1ccc2ccccc2c1,146.5,360.0
*CC(c1ccccn1)C(c1ccccc1)C(*)c1ccccn1,150.0,350.0
*CC(*)O,76.5,226.3
*CC(*)C(C)=O,115.0,170.0
*CC(*)C#N,95.0,311.0
*CC(*)c1ccccn1,105.0,202.0
*CC(*)n1c2ccccc2c2ccccc21,225.0,335.5
*CC(*)C[Si](C)(C)C,114.0,309.0
*CC(*)OC,-25.8,144.0
*CC(*)OCC,-33.0,86.0
*CC(*)OCCCC,-51.0,64.0
*CC(*)OCCCCCCCCCC,-62.0,7.0
*CC(*)OC(C)=O,32.0,41.25
*CC(*)OCC(C)C,-22.0,167.5
*/C=C/C(C)C(*)C(=O)OC,53.0,200.0
*CC(*)CC[Si](C)(C)C,132.0,206.0
*CC(*)OC(C)C,-7.5,191.0
*CC(*)(C)OC,67.0,100.0
*CC(*)OC(=O)C(F)(F)F,55.0,148.0
*C1CC(*)(C#N)C1,220.0,370.0
*CC(*)Cc1cccc(C)c1,40.0,180.0
*CC(*)Cc1ccccc1C,80.0,290.0
*CC(*)Cc1ccc(C)cc1,65.0,240.0
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,121.0,327.0
*/C=C/C(C*)OC,-10.5,118.0
*CC(*)C(=O)c1ccccc1,72.75,99.0
*CC(*)NC(=O)OC(C)(C)C,120.0,263.0
*CC(*)OC(=O)c1ccc([Si](C)(C)C)cc1,130.5,340.0
*CC(*)P(=O)(c1ccccc1)c1ccccc1,127.5,155.0
*CC(*)N1CCCC1=O,158.0,119.51
*CC(*)C(=O)O,115.0,131.0
*CC(*)C(=O)OC(C)C,-5.0,169.5
*CC(*)C(=O)OCCCC,-49.0,47.0
*CC(*)C(=O)OCC(C)C,25.0,81.0
*CC(*)C(=O)OC(C)CC,-20.0,130.0
*CC(*)C(=O)OC(C)(C)C,40.0,200.0
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,-42.5,50.0
*CC(*)(C)C(=O)OC,108.0,157.0
*CC(*)(C)C(=O)OC(C)(C)C,107.0,165.0
*CC(*)(C)C(=O)OCCCCCCCCCCCC,-47.9,-26.0
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,-100.0,38.0
*CC(*)(C)C(=O)OCCO,91.2,106.68
*CC(*)C(N)=O,193.0,285.0
*CC(*)C(=O)NC(C)C,134.62,172.5
*CC(*)C(=O)Oc1ccc(C(=O)OCC)cc1,37.0,151.0
*CC(*)C(=O)Oc1ccc(-c2ccccc2)cc1,110.0,280.0
*CC(*)(C)C(=O)O[Si](C)(C)C,97.5,203.5
*CC(*)C(=O)Oc1ccc(C(=O)O)cc1,125.0,252.0
*CC(*)(C)C(=O)OCCCCn1c2ccccc2c2ccccc21,59.2,121.3
*CC(*)F,41.0,200.0
*CC(*)Cl,80.0,212.0
*CC(*)(F)F,-34.4,170.0
*CC(*)(Cl)Cl,-16.5,200.0
*C(F)C(*)(F)F,31.45,197.6
*C(*)(F)F,120.0,329.0
*C(F)(F)C(*)(F)Cl,52.1,214.0
*CC/C=C(/*)Cl,-20.0,70.0
*C(F)(F)C(*)(F)C(F)(F)F,158.5,155.0
*CCC(F)(F)C(*)(F)F,-108.0,271.0
